state,date,year,week,new_cases,cases_ytd
Alabama,2022-01-03,2022,1,0,0
Alabama,2022-01-10,2022,2,0,0
Alabama,2022-01-17,2022,3,0,0
Alabama,2022-01-24,2022,4,0,0
Alabama,2022-01-31,2022,5,0,0
Alabama,2022-02-07,2022,6,0,0
Alabama,2022-02-14,2022,7,0,0
Alabama,2022-02-21,2022,8,0,0
Alabama,2022-02-28,2022,9,0,0
Alabama,2022-03-07,2022,10,0,0
Alabama,2022-03-14,2022,11,0,0
Alabama,2022-03-21,2022,12,0,0
Alabama,2022-03-28,2022,13,0,0
Alabama,2022-04-04,2022,14,0,0
Alabama,2022-04-11,2022,15,0,0
Alabama,2022-04-18,2022,16,0,0
Alabama,2022-04-25,2022,17,0,0
Alabama,2022-05-02,2022,18,0,0
Alabama,2022-05-09,2022,19,0,0
Alabama,2022-05-16,2022,20,0,0
Alabama,2022-05-23,2022,21,0,0
Alabama,2022-05-30,2022,22,0,0
Alabama,2022-06-06,2022,23,0,0
Alabama,2022-06-13,2022,24,0,0
Alabama,2022-06-20,2022,25,0,0
Alabama,2022-06-27,2022,26,0,0
Alabama,2022-07-04,2022,27,0,0
Alabama,2022-07-11,2022,28,0,0
Alabama,2022-07-18,2022,29,0,0
Alabama,2022-07-25,2022,30,0,0
Alabama,2022-08-01,2022,31,0,0
Alabama,2022-08-08,2022,32,0,0
Alabama,2022-08-15,2022,33,0,0
Alabama,2022-08-22,2022,34,0,0
Alabama,2022-08-29,2022,35,0,0
Alabama,2022-09-05,2022,36,0,0
Alabama,2022-09-12,2022,37,0,0
Alabama,2022-09-19,2022,38,0,0
Alabama,2022-09-26,2022,39,0,0
Alabama,2022-10-03,2022,40,0,0
Alabama,2022-10-10,2022,41,0,0
Alabama,2022-10-17,2022,42,0,0
Alabama,2022-10-24,2022,43,0,0
Alabama,2022-10-31,2022,44,0,0
Alabama,2022-11-07,2022,45,0,0
Alabama,2022-11-14,2022,46,0,0
Alabama,2022-11-21,2022,47,0,0
Alabama,2022-11-28,2022,48,0,0
Alabama,2022-12-05,2022,49,0,0
Alabama,2022-12-12,2022,50,0,0
Alabama,2022-12-19,2022,51,0,0
Alabama,2022-12-26,2022,52,0,0
Alabama,2023-01-02,2023,1,0,0
Alabama,2023-01-09,2023,2,0,0
Alabama,2023-01-16,2023,3,0,0
Alabama,2023-01-23,2023,4,0,0
Alabama,2023-01-30,2023,5,0,0
Alabama,2023-02-06,2023,6,0,0
Alabama,2023-02-13,2023,7,0,0
Alabama,2023-02-20,2023,8,0,0
Alabama,2023-02-27,2023,9,0,0
Alabama,2023-03-06,2023,10,0,0
Alabama,2023-03-13,2023,11,0,0
Alabama,2023-03-20,2023,12,0,0
Alabama,2023-03-27,2023,13,0,0
Alabama,2023-04-03,2023,14,0,0
Alabama,2023-04-10,2023,15,0,0
Alabama,2023-04-17,2023,16,0,0
Alabama,2023-04-24,2023,17,0,0
Alabama,2023-05-01,2023,18,0,0
Alabama,2023-05-08,2023,19,0,0
Alabama,2023-05-15,2023,20,0,0
Alabama,2023-05-22,2023,21,0,0
Alabama,2023-05-29,2023,22,0,0
Alabama,2023-06-05,2023,23,0,0
Alabama,2023-06-12,2023,24,0,0
Alabama,2023-06-19,2023,25,0,0
Alabama,2023-06-26,2023,26,0,0
Alabama,2023-07-03,2023,27,0,0
Alabama,2023-07-10,2023,28,0,0
Alabama,2023-07-17,2023,29,0,0
Alabama,2023-07-24,2023,30,0,0
Alabama,2023-07-31,2023,31,0,0
Alabama,2023-08-07,2023,32,0,0
Alabama,2023-08-14,2023,33,0,0
Alabama,2023-08-21,2023,34,0,0
Alabama,2023-08-28,2023,35,0,0
Alabama,2023-09-04,2023,36,0,0
Alabama,2023-09-11,2023,37,0,0
Alabama,2023-09-18,2023,38,0,0
Alabama,2023-09-25,2023,39,0,0
Alabama,2023-10-02,2023,40,0,0
Alabama,2023-10-09,2023,41,0,0
Alabama,2023-10-16,2023,42,0,0
Alabama,2023-10-23,2023,43,0,0
Alabama,2023-10-30,2023,44,0,0
Alabama,2023-11-06,2023,45,0,0
Alabama,2023-11-13,2023,46,0,0
Alabama,2023-11-20,2023,47,0,0
Alabama,2023-11-27,2023,48,0,0
Alabama,2023-12-04,2023,49,0,0
Alabama,2023-12-11,2023,50,0,0
Alabama,2023-12-18,2023,51,0,0
Alabama,2023-12-25,2023,52,0,0
Alabama,2024-01-08,2024,1,0,0
Alabama,2024-01-15,2024,2,0,0
Alabama,2024-01-22,2024,3,0,0
Alabama,2024-01-29,2024,4,0,0
Alabama,2024-02-05,2024,5,0,0
Alabama,2024-02-12,2024,6,0,0
Alabama,2024-02-19,2024,7,0,0
Alabama,2024-02-26,2024,8,0,0
Alabama,2024-03-04,2024,9,0,0
Alabama,2024-03-11,2024,10,0,0
Alabama,2024-03-18,2024,11,0,0
Alabama,2024-03-25,2024,12,0,0
Alabama,2024-04-01,2024,13,0,0
Alabama,2024-04-08,2024,14,0,0
Alabama,2024-04-15,2024,15,0,0
Alabama,2024-04-22,2024,16,0,0
Alabama,2024-04-29,2024,17,0,0
Alabama,2024-05-06,2024,18,0,0
Alabama,2024-05-13,2024,19,0,0
Alabama,2024-05-20,2024,20,0,0
Alabama,2024-05-27,2024,21,0,0
Alabama,2024-06-03,2024,22,0,0
Alabama,2024-06-10,2024,23,0,0
Alabama,2024-06-17,2024,24,0,0
Alabama,2024-06-24,2024,25,0,0
Alabama,2024-07-01,2024,26,0,0
Alabama,2024-07-08,2024,27,0,0
Alabama,2024-07-15,2024,28,0,0
Alabama,2024-07-22,2024,29,0,0
Alabama,2024-07-29,2024,30,0,0
Alabama,2024-08-05,2024,31,0,0
Alabama,2024-08-12,2024,32,0,0
Alabama,2024-08-19,2024,33,0,0
Alabama,2024-08-26,2024,34,0,0
Alabama,2024-09-02,2024,35,0,0
