"","GEOID","NAME","variable","value"
"1","26001","Alcona County, Michigan","population",10310
"2","26001","Alcona County, Michigan","median_income",53568
"3","26001","Alcona County, Michigan","median_age",59.7
"4","26001","Alcona County, Michigan","avg_commute_minutes",3232
"5","26003","Alger County, Michigan","population",8813
"6","26003","Alger County, Michigan","median_income",59406
"7","26003","Alger County, Michigan","median_age",48.8
"8","26003","Alger County, Michigan","avg_commute_minutes",2632
"9","26005","Allegan County, Michigan","population",120913
"10","26005","Allegan County, Michigan","median_income",80255
"11","26005","Allegan County, Michigan","median_age",40.8
"12","26005","Allegan County, Michigan","avg_commute_minutes",51674
"13","26007","Alpena County, Michigan","population",28908
"14","26007","Alpena County, Michigan","median_income",51909
"15","26007","Alpena County, Michigan","median_age",47.6
"16","26007","Alpena County, Michigan","avg_commute_minutes",10748
"17","26009","Antrim County, Michigan","population",23876
"18","26009","Antrim County, Michigan","median_income",71421
"19","26009","Antrim County, Michigan","median_age",51.8
"20","26009","Antrim County, Michigan","avg_commute_minutes",9360
"21","26011","Arenac County, Michigan","population",15054
"22","26011","Arenac County, Michigan","median_income",56989
"23","26011","Arenac County, Michigan","median_age",50.1
"24","26011","Arenac County, Michigan","avg_commute_minutes",5720
"25","26013","Baraga County, Michigan","population",8249
"26","26013","Baraga County, Michigan","median_income",55117
"27","26013","Baraga County, Michigan","median_age",46.2
"28","26013","Baraga County, Michigan","avg_commute_minutes",2747
"29","26015","Barry County, Michigan","population",62982
"30","26015","Barry County, Michigan","median_income",77873
"31","26015","Barry County, Michigan","median_age",42
"32","26015","Barry County, Michigan","avg_commute_minutes",25672
"33","26017","Bay County, Michigan","population",103235
"34","26017","Bay County, Michigan","median_income",60523
"35","26017","Bay County, Michigan","median_age",43.8
"36","26017","Bay County, Michigan","avg_commute_minutes",43721
"37","26019","Benzie County, Michigan","population",18177
"38","26019","Benzie County, Michigan","median_income",72603
"39","26019","Benzie County, Michigan","median_age",50.6
"40","26019","Benzie County, Michigan","avg_commute_minutes",7093
"41","26021","Berrien County, Michigan","population",153411
"42","26021","Berrien County, Michigan","median_income",63152
"43","26021","Berrien County, Michigan","median_age",42.6
"44","26021","Berrien County, Michigan","avg_commute_minutes",61553
"45","26023","Branch County, Michigan","population",44914
"46","26023","Branch County, Michigan","median_income",61958
"47","26023","Branch County, Michigan","median_age",40.8
"48","26023","Branch County, Michigan","avg_commute_minutes",17942
"49","26025","Calhoun County, Michigan","population",133846
"50","26025","Calhoun County, Michigan","median_income",60385
"51","26025","Calhoun County, Michigan","median_age",40.2
"52","26025","Calhoun County, Michigan","avg_commute_minutes",53578
"53","26027","Cass County, Michigan","population",51606
"54","26027","Cass County, Michigan","median_income",68011
"55","26027","Cass County, Michigan","median_age",45.5
"56","26027","Cass County, Michigan","avg_commute_minutes",21928
"57","26029","Charlevoix County, Michigan","population",26143
"58","26029","Charlevoix County, Michigan","median_income",76495
"59","26029","Charlevoix County, Michigan","median_age",50
"60","26029","Charlevoix County, Michigan","avg_commute_minutes",10968
"61","26031","Cheboygan County, Michigan","population",25778
"62","26031","Cheboygan County, Michigan","median_income",61619
"63","26031","Cheboygan County, Michigan","median_age",51.9
"64","26031","Cheboygan County, Michigan","avg_commute_minutes",9367
"65","26033","Chippewa County, Michigan","population",36448
"66","26033","Chippewa County, Michigan","median_income",60631
"67","26033","Chippewa County, Michigan","median_age",41.3
"68","26033","Chippewa County, Michigan","avg_commute_minutes",14150
"69","26035","Clare County, Michigan","population",31109
"70","26035","Clare County, Michigan","median_income",49805
"71","26035","Clare County, Michigan","median_age",48.3
"72","26035","Clare County, Michigan","avg_commute_minutes",9570
"73","26037","Clinton County, Michigan","population",79419
"74","26037","Clinton County, Michigan","median_income",85928
"75","26037","Clinton County, Michigan","median_age",41.8
"76","26037","Clinton County, Michigan","avg_commute_minutes",33729
"77","26039","Crawford County, Michigan","population",13271
"78","26039","Crawford County, Michigan","median_income",58614
"79","26039","Crawford County, Michigan","median_age",51.5
"80","26039","Crawford County, Michigan","avg_commute_minutes",4711
"81","26041","Delta County, Michigan","population",36829
"82","26041","Delta County, Michigan","median_income",54829
"83","26041","Delta County, Michigan","median_age",47.8
"84","26041","Delta County, Michigan","avg_commute_minutes",13848
"85","26043","Dickinson County, Michigan","population",25940
"86","26043","Dickinson County, Michigan","median_income",61882
"87","26043","Dickinson County, Michigan","median_age",47.4
"88","26043","Dickinson County, Michigan","avg_commute_minutes",10794
"89","26045","Eaton County, Michigan","population",109000
"90","26045","Eaton County, Michigan","median_income",78025
"91","26045","Eaton County, Michigan","median_age",41.2
"92","26045","Eaton County, Michigan","avg_commute_minutes",45553
"93","26047","Emmet County, Michigan","population",34159
"94","26047","Emmet County, Michigan","median_income",73724
"95","26047","Emmet County, Michigan","median_age",46.4
"96","26047","Emmet County, Michigan","avg_commute_minutes",14952
"97","26049","Genesee County, Michigan","population",404087
"98","26049","Genesee County, Michigan","median_income",60673
"99","26049","Genesee County, Michigan","median_age",40.6
"100","26049","Genesee County, Michigan","avg_commute_minutes",154581
"101","26051","Gladwin County, Michigan","population",25543
"102","26051","Gladwin County, Michigan","median_income",55576
"103","26051","Gladwin County, Michigan","median_age",50.8
"104","26051","Gladwin County, Michigan","avg_commute_minutes",8584
"105","26053","Gogebic County, Michigan","population",14348
"106","26053","Gogebic County, Michigan","median_income",49672
"107","26053","Gogebic County, Michigan","median_age",51.3
"108","26053","Gogebic County, Michigan","avg_commute_minutes",5446
"109","26055","Grand Traverse County, Michigan","population",95757
"110","26055","Grand Traverse County, Michigan","median_income",79486
"111","26055","Grand Traverse County, Michigan","median_age",43.1
"112","26055","Grand Traverse County, Michigan","avg_commute_minutes",41403
"113","26057","Gratiot County, Michigan","population",41478
"114","26057","Gratiot County, Michigan","median_income",61128
"115","26057","Gratiot County, Michigan","median_age",39.7
"116","26057","Gratiot County, Michigan","avg_commute_minutes",15660
"117","26059","Hillsdale County, Michigan","population",45658
"118","26059","Hillsdale County, Michigan","median_income",60869
"119","26059","Hillsdale County, Michigan","median_age",42.8
"120","26059","Hillsdale County, Michigan","avg_commute_minutes",18200
"121","26061","Houghton County, Michigan","population",37428
"122","26061","Houghton County, Michigan","median_income",56573
"123","26061","Houghton County, Michigan","median_age",32.3
"124","26061","Houghton County, Michigan","avg_commute_minutes",15180
"125","26063","Huron County, Michigan","population",31258
"126","26063","Huron County, Michigan","median_income",56963
"127","26063","Huron County, Michigan","median_age",49.4
"128","26063","Huron County, Michigan","avg_commute_minutes",12436
"129","26065","Ingham County, Michigan","population",282015
"130","26065","Ingham County, Michigan","median_income",64354
"131","26065","Ingham County, Michigan","median_age",33.3
"132","26065","Ingham County, Michigan","avg_commute_minutes",116777
"133","26067","Ionia County, Michigan","population",66706
"134","26067","Ionia County, Michigan","median_income",73436
"135","26067","Ionia County, Michigan","median_age",38.8
"136","26067","Ionia County, Michigan","avg_commute_minutes",27680
"137","26069","Iosco County, Michigan","population",25333
"138","26069","Iosco County, Michigan","median_income",47777
"139","26069","Iosco County, Michigan","median_age",53.5
"140","26069","Iosco County, Michigan","avg_commute_minutes",8501
"141","26071","Iron County, Michigan","population",11650
"142","26071","Iron County, Michigan","median_income",53614
"143","26071","Iron County, Michigan","median_age",53.2
"144","26071","Iron County, Michigan","avg_commute_minutes",4037
"145","26073","Isabella County, Michigan","population",64475
"146","26073","Isabella County, Michigan","median_income",53759
"147","26073","Isabella County, Michigan","median_age",29.8
"148","26073","Isabella County, Michigan","avg_commute_minutes",28639
"149","26075","Jackson County, Michigan","population",160187
"150","26075","Jackson County, Michigan","median_income",65004
"151","26075","Jackson County, Michigan","median_age",41.2
"152","26075","Jackson County, Michigan","avg_commute_minutes",62421
"153","26077","Kalamazoo County, Michigan","population",261437
"154","26077","Kalamazoo County, Michigan","median_income",70525
"155","26077","Kalamazoo County, Michigan","median_age",34.9
"156","26077","Kalamazoo County, Michigan","avg_commute_minutes",115103
"157","26079","Kalkaska County, Michigan","population",18116
"158","26079","Kalkaska County, Michigan","median_income",60365
"159","26079","Kalkaska County, Michigan","median_age",44
"160","26079","Kalkaska County, Michigan","avg_commute_minutes",7086
"161","26081","Kent County, Michigan","population",658844
"162","26081","Kent County, Michigan","median_income",80390
"163","26081","Kent County, Michigan","median_age",35.7
"164","26081","Kent County, Michigan","avg_commute_minutes",294914
"165","26083","Keweenaw County, Michigan","population",2106
"166","26083","Keweenaw County, Michigan","median_income",53893
"167","26083","Keweenaw County, Michigan","median_age",56.7
"168","26083","Keweenaw County, Michigan","avg_commute_minutes",633
"169","26085","Lake County, Michigan","population",12393
"170","26085","Lake County, Michigan","median_income",49680
"171","26085","Lake County, Michigan","median_age",50.3
"172","26085","Lake County, Michigan","avg_commute_minutes",3833
"173","26087","Lapeer County, Michigan","population",88703
"174","26087","Lapeer County, Michigan","median_income",76228
"175","26087","Lapeer County, Michigan","median_age",44.6
"176","26087","Lapeer County, Michigan","avg_commute_minutes",37245
"177","26089","Leelanau County, Michigan","population",22607
"178","26089","Leelanau County, Michigan","median_income",91943
"179","26089","Leelanau County, Michigan","median_age",55.3
"180","26089","Leelanau County, Michigan","avg_commute_minutes",8180
"181","26091","Lenawee County, Michigan","population",98823
"182","26091","Lenawee County, Michigan","median_income",67013
"183","26091","Lenawee County, Michigan","median_age",42.2
"184","26091","Lenawee County, Michigan","avg_commute_minutes",39334
"185","26093","Livingston County, Michigan","population",195143
"186","26093","Livingston County, Michigan","median_income",101315
"187","26093","Livingston County, Michigan","median_age",43.8
"188","26093","Livingston County, Michigan","avg_commute_minutes",83287
"189","26095","Luce County, Michigan","population",6325
"190","26095","Luce County, Michigan","median_income",54338
"191","26095","Luce County, Michigan","median_age",44.6
"192","26095","Luce County, Michigan","avg_commute_minutes",1840
"193","26097","Mackinac County, Michigan","population",10865
"194","26097","Mackinac County, Michigan","median_income",58598
"195","26097","Mackinac County, Michigan","median_age",53.3
"196","26097","Mackinac County, Michigan","avg_commute_minutes",3869
"197","26099","Macomb County, Michigan","population",877624
"198","26099","Macomb County, Michigan","median_income",76399
"199","26099","Macomb County, Michigan","median_age",41.1
"200","26099","Macomb County, Michigan","avg_commute_minutes",372975
"201","26101","Manistee County, Michigan","population",25247
